house,median income,median house value,housing median age,total rooms,total bedrooms,population,households,longitude,latitude,ocean proximity
house 1109,2.3507,97600,12,1958,369,875,354,-121.59,39.82,INLAND
house 19088,3.075,165100,25,1566,352,784,362,-122.5,38.35,<1H OCEAN
house 3035,4.5903,94300,13,1264,202,552,187,-119.12,35.39,INLAND
house 1532,6.7192,397500,30,2296,329,847,322,-122.05,37.87,NEAR BAY
house 6774,3.8427,319700,36,6119,1513,2719,1402,-118.15,34.12,<1H OCEAN
house 4496,2.2344,153100,34,1083,364,1132,338,-118.22,34.06,<1H OCEAN
house 13904,2.0674,65000,14,4985,1238,2517,954,-116.38,34.2,INLAND
house 12383,4.0079,134500,10,11836,2405,3811,1570,-116.38,33.73,INLAND
house 8298,3.5214,398100,50,2960,761,1179,718,-118.14,33.76,NEAR OCEAN
house 12456,2.1759,61500,16,1187,261,1115,242,-114.61,33.62,INLAND
house 13251,4.2969,165600,30,2674,428,1404,456,-117.63,34.11,INLAND
house 14025,3.4196,302200,43,2361,489,824,470,-117.15,32.76,NEAR OCEAN
house 13030,4.817,147000,16,1754,284,773,277,-121.19,38.67,INLAND
house 7175,2.7432,135200,35,1296,307,1423,276,-118.19,34.05,<1H OCEAN
house 126,5.457,337300,28,5287,1048,2031,956,-122.22,37.85,NEAR BAY
house 1327,3.3371,94600,36,2707,550,1827,545,-121.89,38.02,INLAND
house 1256,2.4559,75000,39,1214,250,660,249,-122.01,39.21,INLAND
house 16646,1.4492,222900,29,1785,481,1344,472,-120.65,35.29,NEAR OCEAN
house 5500,3.1603,287500,14,3771,1180,2355,978,-118.42,34,<1H OCEAN
house 12636,2.6382,76200,25,2969,551,1745,487,-121.47,38.48,INLAND
house 11640,5.7018,286700,24,4316,678,2286,665,-118.05,33.83,<1H OCEAN
house 3394,6.0808,215600,35,1446,274,759,291,-118.31,34.27,<1H OCEAN
house 15545,4.4375,353000,5,12045,2162,5640,1997,-117.1,33.09,<1H OCEAN
house 17557,2.8594,205900,45,1192,371,1084,345,-121.88,37.33,<1H OCEAN
house 3870,4.4423,280400,28,2795,622,1173,545,-118.46,34.16,<1H OCEAN
house 17908,3.5199,261400,33,2581,623,1598,628,-121.96,37.36,<1H OCEAN
house 1066,2.2833,85800,39,1139,265,623,264,-121.85,39.74,INLAND
house 8574,7.5552,500001,39,2040,336,926,351,-118.41,33.9,<1H OCEAN
house 4298,1.9835,225000,43,1583,658,1941,614,-118.29,34.09,<1H OCEAN
house 9983,3.3393,146900,15,1743,366,655,264,-122.18,38.49,INLAND
house 13762,4.0556,131300,37,106,18,27,12,-117.09,34.01,INLAND
house 44,3.9643,188800,52,950,202,467,198,-122.26,37.84,NEAR BAY
house 18454,5.0958,217100,18,2127,387,1547,402,-121.78,37.22,<1H OCEAN
house 16891,5.7837,378100,49,1657,266,613,270,-122.38,37.59,NEAR OCEAN
house 6944,3.6033,157800,39,1042,221,863,228,-118.08,33.98,<1H OCEAN
house 17317,4.4519,227900,14,2647,515,1487,488,-120.2,34.63,NEAR OCEAN
house 6701,5.8692,490400,52,2337,352,981,328,-118.12,34.14,<1H OCEAN
house 8167,4.4312,226000,36,1496,271,743,265,-118.13,33.8,<1H OCEAN
house 2479,1.5086,64700,12,1462,356,1708,367,-120.1,36.21,INLAND
house 8240,1.1483,112500,36,1833,688,1128,620,-118.18,33.77,NEAR OCEAN
house 1217,2.9821,90400,19,1003,235,538,190,-120.79,38.24,INLAND
house 18295,7.6229,500001,35,2471,349,881,342,-122.1,37.39,NEAR BAY
house 8088,5.3096,209900,47,2347,437,1219,420,-118.2,33.81,NEAR OCEAN
house 845,6.5116,244300,16,1644,251,1033,267,-122.07,37.58,NEAR BAY
house 8037,4.4286,254900,44,3043,619,1316,607,-118.14,33.84,<1H OCEAN
house 6535,2.6579,156800,32,1252,273,1337,263,-118.04,34.05,<1H OCEAN
house 20576,3.75,187500,38,575,107,259,109,-121.9,38.72,INLAND
house 7221,1.7981,166000,41,1256,391,1511,381,-118.16,34.02,<1H OCEAN
house 17201,5.9522,438400,26,3563,579,1479,575,-119.75,34.5,<1H OCEAN
house 7778,3.2708,159700,35,1653,325,1072,301,-118.1,33.91,<1H OCEAN
house 2924,1.9671,76800,41,2551,594,1342,595,-119.03,35.36,INLAND
house 5705,7.5582,263700,38,1107,194,518,195,-118.26,34.23,<1H OCEAN
house 3744,2.3333,364700,45,1176,250,471,228,-118.4,34.16,<1H OCEAN
house 10914,2.6385,180200,26,1702,456,2776,463,-117.86,33.73,<1H OCEAN
house 2964,2.9438,87200,18,12707,2685,7009,2552,-119.05,35.33,INLAND
house 4297,3.0357,175000,38,790,275,664,194,-118.28,34.09,<1H OCEAN
house 13559,1.8681,59700,42,801,176,711,183,-117.32,34.1,INLAND
house 6346,1.7206,107500,27,437,108,469,97,-117.75,34.05,INLAND
house 2361,3.0833,133300,42,1338,215,617,222,-119.63,36.7,INLAND
house 17945,2.3547,275900,31,1866,465,821,447,-121.95,37.33,<1H OCEAN
house 13243,8.8204,390500,22,2272,278,933,305,-117.66,34.12,INLAND
house 1429,3.8897,139900,38,2675,541,1378,480,-122.04,37.99,NEAR BAY
house 11258,5.152,215600,35,897,156,479,161,-117.98,33.81,<1H OCEAN
house 8349,4,192000,36,1153,224,639,226,-118.32,33.94,<1H OCEAN
house 11335,6.6355,276100,19,1983,283,1098,275,-117.95,33.75,<1H OCEAN
house 4357,2.9643,355300,38,2158,582,1061,577,-118.36,34.09,<1H OCEAN
house 20289,4.0074,188000,25,1596,321,1378,308,-119.17,34.17,NEAR OCEAN
house 10103,4.1321,198100,35,1887,328,989,351,-117.97,33.93,<1H OCEAN
house 10617,2.4233,450000,5,1256,256,880,288,-117.81,33.69,<1H OCEAN
house 7119,3.5938,209900,34,1636,358,977,357,-118.02,33.9,<1H OCEAN
house 18075,5.4103,335900,32,2782,495,1092,455,-122,37.28,<1H OCEAN
house 12301,1.4556,54600,32,3141,812,2589,721,-116.87,33.93,INLAND
house 7560,2.7813,105100,33,1435,322,1298,299,-118.2,33.9,<1H OCEAN
house 8591,7.1845,438100,40,826,143,389,147,-118.39,33.89,<1H OCEAN
house 5205,3.3836,129900,43,2021,379,1051,352,-118.29,33.93,<1H OCEAN
house 15742,2.4414,275000,52,989,425,634,341,-122.42,37.78,NEAR BAY
house 9830,3.7454,243800,52,1220,267,488,265,-121.91,36.62,<1H OCEAN
house 19733,2.3657,94000,19,2611,503,1185,483,-122.08,40.09,INLAND
house 6865,3.875,236400,39,1880,367,954,349,-118.14,34.05,<1H OCEAN
house 2411,2.5,73000,42,510,88,247,99,-119.45,36.6,INLAND
house 2217,6.8645,195900,17,2273,298,700,263,-119.84,36.83,INLAND
house 3360,1.5066,59300,50,1741,424,987,383,-120.64,40.41,INLAND
house 9630,3.1738,97600,31,1923,341,806,349,-121,37.25,INLAND
house 17585,2.6573,252800,29,1377,430,969,399,-121.93,37.31,<1H OCEAN
house 10037,1,90600,45,204,62,133,51,-121.07,39.2,INLAND
house 1787,1.7865,88000,19,1334,366,1048,316,-122.35,37.93,NEAR BAY
house 16744,4.5417,233700,50,1441,283,1159,286,-122.45,37.71,NEAR OCEAN
house 18543,2.1964,234400,51,924,232,488,228,-122.03,36.97,NEAR OCEAN
house 179,2.3833,146900,52,1192,289,772,257,-122.23,37.8,NEAR BAY
house 17629,4.5208,230700,33,1306,259,762,237,-121.92,37.26,<1H OCEAN
house 617,3.95,219000,52,1394,223,545,230,-122.15,37.74,NEAR BAY
house 16336,5.5842,159100,5,4303,613,2206,621,-121.35,38.04,INLAND
house 7127,5.5,276800,27,3797,597,2043,614,-118.09,34.03,<1H OCEAN
house 7784,4.6731,173300,36,1360,271,909,275,-118.06,33.91,<1H OCEAN
house 13955,4.5268,108400,22,4397,931,1145,445,-117.1,34.21,INLAND
house 6794,2.7483,218800,28,4164,1127,2934,1014,-118.14,34.09,<1H OCEAN
house 2867,2.4919,75700,17,3589,701,1746,640,-118.92,35.37,INLAND
house 7792,3.125,120300,35,1145,274,1651,265,-118.07,33.89,<1H OCEAN
house 3961,2.6159,182300,19,2581,857,2004,784,-118.6,34.21,<1H OCEAN
house 17628,2.8125,291300,39,1103,175,446,163,-121.93,37.26,<1H OCEAN
house 14524,2.8588,92500,14,3249,937,1929,838,-117.12,32.9,<1H OCEAN
house 10180,4.2937,183200,35,2181,371,1249,358,-117.96,33.86,<1H OCEAN
house 11292,4.7731,199200,34,2627,468,1409,450,-117.94,33.78,<1H OCEAN
house 2063,3.5781,92800,35,2080,365,1026,333,-119.73,36.62,INLAND
house 10281,5.3339,371700,19,2968,503,1430,459,-117.81,33.88,<1H OCEAN
house 12505,3.7167,131900,45,2423,466,873,438,-121.44,38.56,INLAND
house 7469,3.0871,138800,42,1411,314,1432,322,-118.2,33.92,<1H OCEAN
house 17338,6.7694,275100,9,3124,415,1169,407,-120.44,34.88,<1H OCEAN
house 971,6.5285,300400,19,2034,288,852,295,-121.89,37.67,INLAND
house 11204,3.125,168100,25,1021,252,975,258,-117.91,33.84,<1H OCEAN
house 6874,2.5,182100,21,1349,352,1188,330,-118.1,34.08,<1H OCEAN
house 10013,3.7426,162700,19,2323,397,963,379,-121.08,39.18,INLAND
house 7320,2.3917,154600,30,1911,562,2055,534,-118.2,33.97,<1H OCEAN
house 10242,3.6946,265500,17,3218,923,1701,824,-117.88,33.89,<1H OCEAN
house 18934,6.5891,328800,17,1625,239,703,224,-122.15,38.29,NEAR BAY
house 17881,3.6619,232400,17,4324,854,1656,885,-122,37.4,<1H OCEAN
house 4883,1.5652,123100,38,980,285,1308,310,-118.26,34.02,<1H OCEAN
house 4709,3.7167,385000,48,1354,279,716,309,-118.35,34.06,<1H OCEAN
house 1953,2.5104,120500,38,2005,385,882,353,-120.81,38.73,INLAND
house 15336,2.2882,85800,17,1246,300,424,288,-117.33,33.21,NEAR OCEAN
house 12359,3.9737,235600,18,9374,1780,1678,919,-116.54,33.79,INLAND
house 5647,2.7031,218900,37,1319,292,766,285,-118.29,33.75,NEAR OCEAN
house 14788,3.1645,156000,27,2511,615,1427,576,-117.13,32.58,NEAR OCEAN
house 17707,4.4792,212500,15,1898,395,1527,381,-121.81,37.31,<1H OCEAN
house 18449,5.3157,253300,16,1674,281,850,254,-121.81,37.23,<1H OCEAN
house 11378,5.7301,260900,26,3653,568,1930,585,-117.97,33.68,<1H OCEAN
house 805,3.8036,158200,33,1227,286,848,291,-122.06,37.65,NEAR BAY
house 14406,4.3403,500000,38,1267,340,442,250,-117.28,32.77,NEAR OCEAN
house 13550,2.6307,66400,36,1076,283,773,224,-117.31,34.13,INLAND
house 5340,2.6528,300000,45,727,168,520,175,-118.45,34.03,<1H OCEAN
house 20275,3.748,380400,18,6213,1188,2679,1000,-119.23,34.15,NEAR OCEAN
house 10783,4.8098,325400,29,1652,310,832,326,-117.91,33.64,<1H OCEAN
house 6546,2.7955,157500,36,1359,317,1557,370,-118.03,34.05,<1H OCEAN
house 2779,1.2132,30000,23,1586,448,338,182,-115.73,33.35,INLAND
house 19991,3.335,69700,11,3136,620,2013,583,-119.32,36.19,INLAND
house 2140,2.5737,76900,30,2427,482,1375,518,-119.74,36.77,INLAND
house 12921,4.7381,140500,26,1604,245,751,267,-121.31,38.66,INLAND
house 12053,2.2197,138200,33,2076,517,1374,480,-117.57,33.87,INLAND
house 2882,1.4024,51000,26,1317,374,1025,304,-118.99,35.38,INLAND
house 2002,1.2375,50000,35,2114,506,2050,474,-119.78,36.75,INLAND
house 16228,2.9107,88800,43,2453,490,1093,438,-121.32,37.97,INLAND
house 3364,1.7333,70000,19,689,143,355,127,-120.36,40.45,INLAND
house 7659,3.4583,166300,28,822,205,627,192,-118.21,33.84,<1H OCEAN
house 7358,2.2817,164200,25,3297,1066,5027,1041,-118.17,33.96,<1H OCEAN
house 8158,4.6087,224600,36,2565,458,1155,443,-118.12,33.81,<1H OCEAN
house 2945,3.2738,78700,29,3480,608,2007,541,-118.95,35.32,INLAND
house 1615,7.6202,402600,27,5484,760,2212,770,-122.09,37.86,NEAR BAY
house 14768,4.8646,136800,29,1061,202,759,206,-117.1,32.58,NEAR OCEAN
house 17751,4.1146,160100,28,1535,330,1937,317,-121.84,37.33,<1H OCEAN
house 9879,2.5313,108300,37,338,109,231,100,-121.86,36.63,<1H OCEAN
house 13742,6.4962,182400,25,2513,340,900,320,-117.19,34.03,INLAND
house 4331,1.7542,287500,31,2275,823,2189,720,-118.31,34.08,<1H OCEAN
house 15018,4.7941,161700,37,1184,178,529,192,-117.05,32.78,<1H OCEAN
house 8219,2.0675,116700,25,2851,968,3744,906,-118.2,33.79,NEAR OCEAN
house 13802,3.7252,167100,20,7052,1306,2197,810,-117.63,34.37,INLAND
house 4271,1.625,237500,48,1116,524,1610,483,-118.33,34.1,<1H OCEAN
house 19726,1.9797,118800,36,1826,329,1068,318,-121.62,38.96,INLAND
house 16923,3.4836,287900,27,5144,1481,2518,1447,-122.33,37.58,NEAR OCEAN
house 5257,12.8665,500001,37,4042,549,1318,542,-118.48,34.07,<1H OCEAN
house 16030,4.1932,269200,46,3581,758,1670,703,-122.44,37.73,NEAR BAY
house 19443,1.125,87500,26,90,18,47,18,-121,37.67,INLAND
house 14823,1.125,60000,52,16,4,8,3,-117.12,32.66,NEAR OCEAN
house 8270,3.8984,306300,30,4439,1105,1749,1011,-118.16,33.77,NEAR OCEAN
house 19190,3.2415,172200,32,3771,741,1786,721,-122.67,38.44,<1H OCEAN
house 2178,2.8194,81100,24,1143,245,608,240,-119.85,36.75,INLAND
house 14268,1.5933,86300,37,2395,627,2489,599,-117.11,32.69,NEAR OCEAN
house 12475,2.6976,109300,52,2035,483,904,459,-121.47,38.58,INLAND
house 14233,4.375,115000,11,1875,357,1014,386,-117.04,32.68,NEAR OCEAN
house 11714,5.75,176600,25,1669,348,163,78,-120.15,39.15,INLAND
house 10839,4.2071,430900,14,6224,1679,3148,1589,-117.92,33.67,<1H OCEAN
house 12994,4.5562,134500,17,3050,481,1490,489,-121.25,38.69,INLAND
house 12322,2.8056,68100,35,321,71,157,61,-116.61,33.93,INLAND
house 14995,4.0813,137000,24,5474,955,3020,904,-117.04,32.72,NEAR OCEAN
house 5831,5.0865,349600,36,1692,263,778,278,-118.31,34.2,<1H OCEAN
house 6262,3.1591,148300,35,1141,212,924,212,-117.96,34.04,<1H OCEAN
house 6407,5.2329,430900,33,2874,458,1239,431,-118.02,34.13,INLAND
house 14440,2.4671,276300,30,1917,462,828,437,-117.24,32.8,NEAR OCEAN
house 2944,1.5743,46700,31,1418,306,1219,312,-118.97,35.36,INLAND
house 18609,6.9772,383300,17,4413,672,1674,608,-122,37.12,<1H OCEAN
house 15036,3.4773,155800,31,3256,726,1595,706,-117,32.79,<1H OCEAN
house 917,5.4359,258300,25,3333,511,1671,504,-121.97,37.51,<1H OCEAN
house 15969,3.0469,238000,40,1883,397,1411,438,-122.4,37.71,NEAR BAY
house 14004,1.4,77700,20,3481,840,1694,587,-116.9,34.52,INLAND
house 1479,3.1968,151000,39,1323,245,705,261,-122.04,37.97,NEAR BAY
house 3838,2.6709,215500,19,3487,959,2278,835,-118.44,34.19,<1H OCEAN
house 16475,2.3,133300,16,1174,242,464,261,-121.25,38.14,INLAND
house 9052,2.5179,104000,26,4230,823,2789,793,-118.12,34.71,INLAND
house 1076,3.2016,97000,37,2236,372,974,379,-121.82,39.75,INLAND
house 16931,2.9934,256300,52,499,148,318,145,-122.32,37.57,NEAR OCEAN
house 12090,5.1045,161300,14,2300,335,1001,311,-117.33,33.87,INLAND
house 508,2.6997,126900,52,3108,813,1623,765,-122.28,37.83,NEAR BAY
house 7121,5.1155,213700,35,1337,234,692,235,-118.02,33.91,<1H OCEAN
house 17662,5.8178,267400,27,2019,335,1020,351,-121.88,37.27,<1H OCEAN
house 9598,3.48,95300,26,3170,572,1524,565,-120.46,37.31,INLAND
house 7016,4.6333,161200,35,825,155,590,144,-118.08,33.97,<1H OCEAN
house 14649,2.4397,140600,14,3575,992,1645,839,-117.19,32.77,NEAR OCEAN
house 17921,4.5427,198400,16,3249,947,1637,841,-121.99,37.35,<1H OCEAN
house 19709,3.6111,112300,22,2264,390,1056,403,-121.67,39.14,INLAND
house 5759,3.6354,256300,22,2664,651,1553,629,-118.28,34.17,<1H OCEAN
house 13455,4.2121,128100,14,1933,347,1443,376,-117.4,34.11,INLAND
house 19416,3.375,212500,39,223,37,92,37,-121.07,37.71,INLAND
house 6036,1.9643,113200,32,2209,654,1718,569,-117.72,34.06,INLAND
house 18579,3.0192,184300,24,1943,447,1844,461,-121.77,36.93,<1H OCEAN
house 10263,6.5843,272200,20,3977,540,1886,541,-117.86,33.88,<1H OCEAN
house 1407,4.175,169400,34,1408,277,738,269,-122.05,37.95,NEAR BAY
house 20590,1.6652,58900,48,1783,399,938,374,-121.59,39.15,INLAND
house 11882,3.0694,125000,24,950,183,383,182,-117.41,33.97,INLAND
house 3308,1.2029,68900,28,1503,370,522,268,-122.64,38.95,INLAND
house 1099,2.3833,95100,24,1535,279,726,272,-121.74,39.59,INLAND
house 2112,1.7994,58700,42,2093,470,1621,438,-119.74,36.76,INLAND
house 15684,5.7934,500001,52,2520,649,959,607,-122.43,37.8,NEAR BAY
house 1785,1.822,79700,41,2591,585,1638,462,-122.36,37.94,NEAR BAY
house 12003,5.4872,203400,7,10223,1491,5205,1509,-117.59,33.91,INLAND
house 896,3.9909,236000,14,5106,1207,2738,1108,-121.96,37.54,<1H OCEAN
house 5936,8.2827,451400,24,5745,735,2061,679,-117.87,34.15,INLAND
house 20350,7.3004,125000,32,166,22,63,29,-119.08,34.17,NEAR OCEAN
house 15625,2.5875,500001,52,812,252,629,247,-122.41,37.8,NEAR BAY
house 10165,4.4375,334100,24,1332,252,625,230,-117.96,33.89,<1H OCEAN
house 18089,8.0158,420000,13,2173,349,891,345,-122.07,37.33,<1H OCEAN
house 20463,5.8578,266300,21,2786,342,1114,322,-118.76,34.28,<1H OCEAN
house 525,3.3214,189600,52,772,179,409,160,-122.23,37.77,NEAR BAY
house 3304,2.0577,69000,16,1914,446,828,332,-122.62,38.96,INLAND
house 988,4.3472,375000,47,127,23,51,21,-121.82,37.73,INLAND
house 8843,2.5784,272900,28,4001,1352,1799,1220,-118.38,34.09,<1H OCEAN
house 3265,3.8333,92600,24,1098,193,353,145,-123.07,39.12,<1H OCEAN
house 6942,2.7202,190300,31,965,217,599,206,-118.1,33.99,<1H OCEAN
house 1378,3.8824,113700,37,1742,339,1128,345,-122.09,38.02,NEAR BAY
house 12103,5.2713,216500,7,11232,1791,4218,1644,-117.31,33.94,INLAND
house 17579,4.7275,293000,26,4348,814,2347,810,-121.94,37.3,<1H OCEAN
house 10998,3.5387,160400,20,5768,1597,4853,1465,-117.83,33.73,<1H OCEAN
house 16533,2.7321,175000,8,4019,857,1959,782,-121.19,37.81,INLAND
house 12278,2.8783,105200,5,1822,367,798,313,-117.02,33.95,INLAND
house 14261,1.3194,90500,14,819,237,827,237,-117.12,32.7,NEAR OCEAN
house 14347,2.5882,258300,33,1115,316,583,269,-117.19,32.75,NEAR OCEAN
house 20083,3.2875,111300,6,1281,245,422,160,-120.3,38.04,INLAND
house 17248,2.375,293800,52,1364,460,804,400,-119.7,34.43,<1H OCEAN
house 2188,1.6168,71800,14,3182,730,2298,721,-120.04,36.74,INLAND
house 8956,3.4375,314500,45,1577,421,1042,375,-118.39,34.02,<1H OCEAN
house 19741,3.1361,84800,16,2077,388,1155,389,-122.38,40.09,INLAND
house 18750,2.6488,83100,21,2405,476,1197,412,-122.28,40.5,INLAND
house 677,5.4858,187800,5,2087,407,840,401,-122.18,37.68,NEAR BAY
house 1026,3.4609,120900,14,3545,702,946,411,-120.56,38.48,INLAND
house 1882,4.0417,99300,23,1564,298,339,147,-119.98,38.94,INLAND
house 15475,2.8586,163300,12,4839,954,1708,952,-117.21,33.14,<1H OCEAN
house 14018,1.9637,137500,49,1566,494,643,419,-117.16,32.75,NEAR OCEAN
house 4106,4.2415,409600,41,3257,679,1237,638,-118.34,34.12,<1H OCEAN
house 10466,5.0044,381200,38,3832,809,1332,636,-117.76,33.48,<1H OCEAN
house 2243,2.3667,69300,11,2754,663,1328,604,-119.78,36.83,INLAND
house 18767,3.9762,138500,14,2539,466,1271,438,-122.26,40.58,INLAND
house 1231,1.625,94700,18,1411,312,592,230,-120.55,38.31,INLAND
house 20093,3.1076,115800,17,8651,1579,2071,757,-120.19,38.03,INLAND
house 3155,3.2632,99800,8,1968,376,930,360,-118.43,35.12,INLAND
house 4299,1.9766,112500,28,1562,648,1974,597,-118.29,34.09,<1H OCEAN
house 14932,5.6631,233400,4,16450,2833,7985,2683,-116.97,32.65,NEAR OCEAN
house 9795,10.1854,426000,18,2321,358,803,341,-121.77,36.53,<1H OCEAN
house 15827,2.9052,400000,52,2708,762,1460,741,-122.42,37.75,NEAR BAY
house 9884,5.4508,190000,14,2493,407,1296,418,-121.8,36.72,<1H OCEAN
house 5695,4.9355,336900,34,3150,518,1392,480,-118.25,34.25,<1H OCEAN
house 2122,2.4956,87500,11,3626,779,1819,731,-119.7,36.75,INLAND
house 3314,3.4187,200500,17,4162,967,889,414,-122.75,39.01,INLAND
house 20502,6.5483,335000,20,1586,187,699,209,-118.71,34.3,<1H OCEAN
house 12529,1.9013,86900,35,1521,457,987,455,-121.49,38.56,INLAND
house 8910,1.3333,310000,19,902,284,414,272,-118.48,34.03,<1H OCEAN
house 12842,3.9914,120500,3,3438,603,1602,554,-121.46,38.66,INLAND
house 3966,4.1111,215600,36,2600,441,1246,426,-118.56,34.19,<1H OCEAN
house 11003,5.3903,286600,29,3058,488,1197,474,-117.8,33.75,<1H OCEAN
house 5616,1.9208,139800,39,981,286,1183,298,-118.25,33.79,NEAR OCEAN
house 18784,2.125,66100,30,2502,523,1296,481,-122.33,40.47,INLAND
house 4393,2.5521,157500,38,2265,801,2899,792,-118.27,34.08,<1H OCEAN
house 13226,3.4184,162500,20,6374,1412,3690,1350,-117.69,34.03,INLAND
house 14086,4.2813,270800,52,2606,426,883,380,-117.1,32.76,NEAR OCEAN
house 7790,4.537,185300,29,1138,217,964,222,-118.07,33.89,<1H OCEAN
house 3481,7.7464,474600,28,2272,320,868,312,-118.52,34.29,<1H OCEAN
house 10805,7.0516,500001,37,2204,428,807,410,-117.93,33.62,<1H OCEAN
house 13697,3.4138,126700,14,3998,711,1509,665,-117.2,34.13,INLAND
house 15218,6.3542,218100,8,3670,536,1723,592,-117.12,32.95,<1H OCEAN
house 17964,5.357,355200,28,5096,1011,2588,954,-122,37.3,<1H OCEAN
house 17661,4.1645,281900,32,4308,717,2002,695,-121.89,37.28,<1H OCEAN
house 15220,4.988,263700,4,9018,1572,4438,1498,-117.12,32.95,<1H OCEAN
house 14669,3.6458,173800,35,1362,243,698,255,-117.13,32.79,NEAR OCEAN
house 18773,1.9943,59800,21,2842,640,1658,608,-122.29,40.43,INLAND
house 12311,3.038,128100,12,1153,265,446,195,-116.87,33.57,INLAND
house 10088,4.1205,217000,36,1870,338,947,324,-117.97,33.94,<1H OCEAN
house 9078,3.2699,100000,34,1439,327,708,298,-118.14,34.69,INLAND
house 7437,3.3661,160800,45,1871,371,1315,382,-118.19,33.94,<1H OCEAN
house 9790,3.7083,210000,14,1078,261,382,171,-121.91,36.42,NEAR OCEAN
house 753,3.2417,210800,28,2932,739,1198,624,-122.07,37.67,NEAR BAY
house 13656,3.39,149500,5,2785,577,1310,536,-117.31,34.04,INLAND
house 4114,5.1377,360700,45,417,89,187,88,-118.4,34.14,<1H OCEAN
house 14973,3.7647,127600,17,6050,1143,3424,1131,-117,32.73,<1H OCEAN
house 16965,4.6125,361700,41,1608,269,676,267,-122.31,37.53,NEAR OCEAN
house 3864,3.7105,272600,22,4982,1358,2237,1220,-118.45,34.16,<1H OCEAN
house 15318,2.9539,169900,19,2129,562,1323,525,-117.36,33.2,NEAR OCEAN
house 8785,3.5804,383800,30,4573,819,2411,819,-118.31,33.78,<1H OCEAN
house 8503,3.1597,214700,27,3144,722,1510,680,-118.3,33.87,<1H OCEAN
house 11178,3.1315,137500,18,2067,770,870,541,-117.96,33.83,<1H OCEAN
house 19993,1.7462,51100,29,1938,404,1487,414,-119.35,36.2,INLAND
house 5215,2.3333,99800,44,1463,312,940,312,-118.25,33.94,<1H OCEAN
house 2533,2.1705,53000,23,462,97,261,90,-122.19,39.5,INLAND
house 13713,3.2368,129200,8,3065,692,1440,666,-117.22,34.07,INLAND
house 78,1.1111,108300,19,1207,243,721,207,-122.28,37.81,NEAR BAY
house 10887,3.6505,145700,16,3113,783,1719,715,-117.91,33.71,<1H OCEAN
house 5314,6.2389,500001,13,4833,1119,1649,807,-118.44,34.06,<1H OCEAN
house 2852,3.5938,95200,35,2220,388,906,373,-118.95,35.38,INLAND
house 8427,2.75,239700,24,2728,845,2023,773,-118.35,33.92,<1H OCEAN
house 19522,1.8162,70000,50,683,189,459,195,-120.99,37.64,INLAND
house 7678,5.3146,168600,33,879,181,547,169,-118.09,33.92,<1H OCEAN
house 18176,4.5,323600,16,3716,916,1551,759,-122.01,37.35,<1H OCEAN
house 13641,2.1591,63500,52,802,160,564,131,-117.32,34.06,INLAND
house 8760,8.5491,410300,20,1975,306,703,292,-118.38,33.81,NEAR OCEAN
house 16269,1.9187,57700,29,874,217,788,222,-121.24,37.96,INLAND
house 16595,1.9792,63000,22,1630,404,4402,358,-121.29,37.72,INLAND
house 15411,2.1293,151400,9,2486,626,1938,525,-117.24,33.21,<1H OCEAN
house 13132,2.5727,86100,27,2475,548,1703,517,-121.3,38.25,INLAND
house 13970,2.4308,90600,18,6988,1635,2044,726,-116.85,34.26,INLAND
house 10110,4.6696,165500,32,1053,207,1038,222,-117.94,33.92,<1H OCEAN
house 17643,4.6845,250000,20,5483,1079,2892,1057,-121.9,37.25,<1H OCEAN
house 17528,1.2887,212500,40,1547,625,1493,543,-121.88,37.34,<1H OCEAN
house 11783,0.8691,136500,18,549,143,249,136,-121.24,38.78,INLAND
house 10954,1.7019,350000,26,411,114,448,95,-117.87,33.75,<1H OCEAN
house 7880,4.6713,231800,33,1379,254,795,297,-118.11,33.87,<1H OCEAN
house 12480,1.0313,85000,20,463,180,486,190,-121.49,38.59,INLAND
house 13873,3.4038,100500,8,3579,672,2216,630,-117.34,34.39,INLAND
house 4805,3.3636,140900,43,1350,287,811,307,-118.37,34.03,<1H OCEAN
house 19381,1.8625,85400,52,436,81,197,68,-120.85,37.77,INLAND
house 18559,4.2045,226500,30,971,185,644,173,-122.05,36.96,NEAR OCEAN
house 6052,3.125,113600,22,2948,636,2600,602,-117.75,34.04,INLAND
house 19768,2.3043,68400,32,1435,277,690,254,-122.06,40.02,INLAND
house 5423,4.5278,374300,44,629,131,326,156,-118.42,34.03,<1H OCEAN
house 10763,5.9055,477300,24,4879,756,1777,754,-117.88,33.65,<1H OCEAN
house 15588,3.875,198100,11,2522,538,616,269,-116.61,33.04,INLAND
house 15981,6.1636,367700,28,1072,165,363,168,-122.46,37.76,NEAR BAY
house 13422,4.1775,143700,4,6034,1170,3527,1098,-117.49,34.04,INLAND
house 17350,3.5391,144700,27,2019,354,1029,346,-120.43,34.9,<1H OCEAN
house 19653,1.9829,82800,34,4272,996,2916,962,-120.86,37.5,INLAND
house 4150,2.9194,162000,41,1908,503,1557,453,-118.2,34.12,<1H OCEAN
house 7009,3.9612,175800,39,1639,300,988,309,-118.06,33.97,<1H OCEAN
house 15821,2.1289,250000,52,1855,611,1715,614,-122.42,37.75,NEAR BAY
house 24,2.1806,99700,52,1688,337,853,325,-122.27,37.84,NEAR BAY
house 11255,4.1667,162500,46,38,8,66,14,-117.99,33.81,<1H OCEAN
house 4563,1.4886,175000,15,326,123,490,105,-118.26,34.06,<1H OCEAN
